Closed,NoTraffic,airportCode,airportName,cityName,countryCode,countryName,latitude,longitude,notams,traffic
False,False,OMFJ,Fujairah Intl,Fujairah,ARE,UAE,25.112222222222222,56.32416666666667,"{""location"":{""868"":""OMFJ""},""StateCode"":{""868"":""ARE""},""message"":{""868"":""RESCUE AND FIRE FIGHTING SERVICES (RFFS) CAT DOWNGRADED TO CAT 7\nDUE TO COVID-19.\nCAT 10 AVBL WITH 2 HR PN.\nCREATED: 31 Mar 2020 16:56:00 \nSOURCE: OMAEYNYX""},""Qcode"":{""868"":""FFCG""},""Created"":{""868"":""2020-03-31T16:56:00.000Z""},""type"":{""868"":""airport""},""Closed"":{""868"":false},""source"":{""868"":""NOTAM""}}","{""_id"":{""4875"":""OMFJ""},""departures"":{""4875"":1},""connections"":{""4875"":1},""all_departures"":{""4875"":[1]},""all_connections"":{""4875"":[1]},""all_countries"":{""4875"":[1]},""week_departure_diff_pc"":{""4875"":null},""week_connections_diff_pc"":{""4875"":null},""ref_departure_diff_pc"":{""4875"":0.0},""ref_connections_diff_pc"":{""4875"":0.0},""date"":{""4875"":""2020-05-22""},""airport"":{""4875"":""OMFJ""}}"
False,False,KAMA,Rick Husband Amarillo Intl,Amarillo,USA,USA,35.21936111111111,-101.70591666666667,,
False,False,SBMQ,Alberto Alcolumbre,Macapa,BRA,Brazil,0.050833333333333335,-51.07027777777778,,
False,False,FQMA,Maputo,Maputo,MOZ,Mozambique,-25.920833333333334,32.57263888888889,,"{""_id"":{""3888"":""FQMA""},""departures"":{""3888"":1},""connections"":{""3888"":1},""all_departures"":{""3888"":[43,1]},""all_connections"":{""3888"":[5,1]},""all_countries"":{""3888"":[5,1]},""week_departure_diff_pc"":{""3888"":0.0},""week_connections_diff_pc"":{""3888"":0.0},""ref_departure_diff_pc"":{""3888"":-97.6744186047},""ref_connections_diff_pc"":{""3888"":-80.0},""date"":{""3888"":""2020-05-22""},""airport"":{""3888"":""FQMA""}}"
False,True,VILK,Chaudhary Charan Singh,Lucknow,IND,India,26.761944444444445,80.88333333333334,"{""location"":{""942"":""VILK"",""943"":""VILK""},""StateCode"":{""942"":""IND"",""943"":""IND""},""message"":{""942"":""COVID-19:\nBASED ON PROTECTIVE MEASURES, AIRCRAFT RESCUE AND FIRE FIGHTING\n(ARFF) CAT 5 AVBL. 30 MIN PN REQUIRED FOR UPGRADE TO CAT 7.\nCREATED: 22 May 2020 12:29:00 \nSOURCE: VIDPYNYX"",""943"":""COVID-19:\nBASED ON PROTECTIVE MEASURES, REVISED WATCH HRS OF AD CTL SERVICE.\n30 MIN PN REQUIRED FOR ANY WATCH EXTENSION.\nCREATED: 22 May 2020 12:24:00 \nSOURCE: VIDPYNYX""},""Qcode"":{""942"":""FFXX"",""943"":""FAAH""},""Created"":{""942"":""2020-05-22T12:29:00.000Z"",""943"":""2020-05-22T12:24:00.000Z""},""type"":{""942"":""airport"",""943"":""airport""},""Closed"":{""942"":false,""943"":false},""source"":{""942"":""NOTAM"",""943"":""NOTAM""}}","{""_id"":{""273"":""VILK""},""departures"":{""273"":46},""connections"":{""273"":7},""all_departures"":{""273"":[46]},""all_connections"":{""273"":[7]},""all_countries"":{""273"":[4]},""week_departure_diff_pc"":{""273"":null},""week_connections_diff_pc"":{""273"":null},""ref_departure_diff_pc"":{""273"":0.0},""ref_connections_diff_pc"":{""273"":0.0},""date"":{""273"":""2020-05-22""},""airport"":{""273"":""VILK""}}"
False,False,EDTY,Schwabisch Hall,Schwabisch Hall,DEU,Germany,49.118316666666665,9.783955555555556,"{""location"":{""460"":""EDTY""},""StateCode"":{""460"":""DEU""},""message"":{""460"":""COVID-19:\nAD OPERATING HOURS CHANGED:\nMON-SAT 0600-1000 1100-1500 : AD OPEN, \nMON-SAT 1500-0600 : PPR 24H IN ADVANCE,\nSUN               : PPR 24H IN ADVANCE.\nJUN 01 11         : PPR 24H IN ADVANCE.\nWEB: WWW.EDTY.DE OR TEL: +49 (0)791499790.\nCREATED: 18 May 2020 11:30:00 \nSOURCE: EUECYIYN""},""Qcode"":{""460"":""FAAH""},""Created"":{""460"":""2020-05-18T11:30:00.000Z""},""type"":{""460"":""airport""},""Closed"":{""460"":false},""source"":{""460"":""NOTAM""}}",
False,True,YPPH,Perth Intl,Perth,AUS,Australia,-31.940277777777776,115.96694444444445,,"{""_id"":{""494"":""YPPH""},""departures"":{""494"":22},""connections"":{""494"":7},""all_departures"":{""494"":[203,22,22]},""all_connections"":{""494"":[17,7,7]},""all_countries"":{""494"":[13,7,7]},""week_departure_diff_pc"":{""494"":0.0},""week_connections_diff_pc"":{""494"":0.0},""ref_departure_diff_pc"":{""494"":-89.1625615764},""ref_connections_diff_pc"":{""494"":-58.8235294118},""date"":{""494"":""2020-05-22""},""airport"":{""494"":""YPPH""}}"
False,False,EDXF,Schaferhaus,Flensburg,DEU,Germany,54.77333333333333,9.378833333333334,,
False,False,SULS,Capitan Curbelo Intl,Maldonado,URY,Uruguay,-34.85722222222223,-55.09805555555556,"{""location"":{""902"":""SULS"",""903"":""SULS"",""904"":""SULS""},""StateCode"":{""902"":""URY"",""903"":""URY"",""904"":""URY""},""message"":{""902"":""PASSENGER, COMMERCIAL AND\/OR PRIVATE\n FLT MAY ONLY OPER IN THE COUNTRY IN CASE OF MOVING URUGUAYAN \nCITIZENS AND THEY MUST REQUESTED AUTH WITH AT LEAST ADVANCE OF 72 \nHOURS BEFORE THE FLT TO EMAIL: DTACURU@DINACIA.GUB.UY, WITH THE \nFOLLOWING INFO ATTACHED:OPERATOR, CONTACT PHONE NUMBER, DATA OF FLT, \nESTIMATED DATE OF ENTRY AND EXIT OF THE COUNTRY, ROUTE, TYPE OF ACFT,\n INSURANCE, MAXIMUM CAPACITY OF PAX, NUMBER OF PAX, CITIZENSHIP AND \nCOUNTRY OF RESIDENCE. AERONAUTICAL OPERATIONS EXCEPT: OF INTL \nTRANSPORT OF GOODS, MAIL AND SUPPLIES, HUMANITARIAN AND SAN AID. THIS\n PROVISION IS DUE TO THE SANITARY EVOLUTION CAUSED BY THE COVID-19, \nTHIS ORDER IS PROVISIONAL AND WILL REMAIN UNTIL FURTHER INFORMATION.\nCREATED: 13 May 2020 13:33:00 \nSOURCE: SUMUYNYX"",""903"":""ONLY WILL BE AUTH ENTRANCE PAX \nURUGUAYAN CITIZENS, FOREIGN RESIDENTS IN URUGUAY, ACFT CREWS, FOREIGN\n DIPLOMATICS (PROPERLY ACCREDITED BY THE URUGUAYAN GOV OR WORKING AT \nINTL AGENCIES LOCATED IN URUGUAY,  AND REFUGGES (LAW 18076), EVERYONE\n MUST BE IN COMPLIANCE WITH SANITARY RULES IN FORCE. MERCOSUR \nCONNEXION PAX ARE AUTH STAY IN SUMU OR SULS, WO AVBL TO ENTER TO \nURUGUAY. THIS PROVISION IS DUE TO THE SANITARY EVOLUTION CAUSED BY \nTHE COVID-19, THIS ORDER IS PROVISIONAL AND WILL REMAIN UNTIL FURTHER\n INFORMATION.\nCREATED: 13 May 2020 13:30:00 \nSOURCE: SUMUYNYX"",""904"":""ALL INTL FLT LTD TO USE SUMU OR SULS\n DUE TO COVID-19  PREVENTION.THIS ORDER IS PROVISIONAL AND WILL \nREMAIN UNTIL FURTHER INFORMATION\nCREATED: 13 May 2020 13:27:00 \nSOURCE: SUMUYNYX""},""Qcode"":{""902"":""FAXX"",""903"":""FAXX"",""904"":""FAXX""},""Created"":{""902"":""2020-05-13T13:33:00.000Z"",""903"":""2020-05-13T13:30:00.000Z"",""904"":""2020-05-13T13:27:00.000Z""},""type"":{""902"":""airport"",""903"":""airport"",""904"":""airport""},""Closed"":{""902"":false,""903"":false,""904"":false},""source"":{""902"":""NOTAM"",""903"":""NOTAM"",""904"":""NOTAM""}}","{""_id"":{""1635"":""SULS""},""departures"":{""1635"":2},""connections"":{""1635"":1},""all_departures"":{""1635"":[2]},""all_connections"":{""1635"":[1]},""all_countries"":{""1635"":[1]},""week_departure_diff_pc"":{""1635"":null},""week_connections_diff_pc"":{""1635"":null},""ref_departure_diff_pc"":{""1635"":0.0},""ref_connections_diff_pc"":{""1635"":0.0},""date"":{""1635"":""2020-05-22""},""airport"":{""1635"":""SULS""}}"
False,False,TVSC,Canouan,Canouan,VCT,St Vincent,12.70079722222222,-61.34506666666667,,
